@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,8-10,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute field numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
0.731496,1.822149,1.990586,2.148399,2.132801,-0.704613,QSO,2.11725
0.995607,0.013718,-0.277428,-0.35153,-0.374482,-1.74382,STAR,-0.367621
0.611568,0.713135,0.644052,0.547971,0.504368,0.777332,GALAXY,-0.190655
0.558649,0.361636,0.262826,0.25564,0.251459,0.961806,STAR,-0.367896
-0.9169,-1.536416,-1.69038,-1.732142,-1.784448,0.297698,GALAXY,-0.24894
0.241921,1.232706,1.180088,1.023183,1.034857,-0.409454,QSO,0.18562
0.761017,1.693319,1.969552,1.972736,1.79585,0.592857,QSO,5.278946
-1.681049,-1.946969,-1.942801,-1.927173,-1.945525,-0.673868,GALAXY,-0.244052
0.681254,0.96919,1.068881,1.171995,1.221055,0.027136,STAR,-0.367389
-1.397651,-0.936812,-0.600616,-0.441902,-0.299001,1.349203,STAR,-0.368148
-1.032477,-0.603551,-0.306353,-0.151452,-0.013305,0.820376,STAR,-0.3674
-0.788702,-0.808631,-0.731652,-0.664135,-0.584815,1.761196,STAR,-0.367903
0.069146,0.458495,0.667073,0.771462,0.869358,0.143969,STAR,-0.367941
0.601056,-0.226978,-0.574469,-0.676031,-0.789839,0.346891,GALAXY,-0.204626
0.32412,0.342908,0.299349,0.240245,0.237348,-0.901386,GALAXY,-0.057277
0.510829,0.220796,-0.090793,-0.305355,-0.396844,1.539827,GALAXY,-0.184556
0.184169,1.45764,7.499833,2.847576,3.051285,0.125522,STAR,-0.368379
-1.503163,-1.158196,-0.910265,-0.74452,-0.602069,1.36765,STAR,-0.367753
-2.877142,-2.299744,-1.77221,-1.504405,-1.298709,0.002539,STAR,-0.368242
0.117677,0.221242,0.514089,0.668104,0.757052,-0.132742,STAR,-0.367785
-2.458181,-2.330705,-2.273305,-2.234732,-2.266909,-0.188085,GALAXY,-0.312344
1.05166,0.775781,0.377375,0.200769,0.034689,0.986403,GALAXY,-0.014082
-0.108354,0.123044,0.178096,0.24996,0.307603,0.291549,STAR,-0.367053
1.137607,0.284663,-0.085671,-0.205417,-0.344278,-0.15119,GALAXY,-0.16526
1.03652,0.92218,0.832739,0.808599,0.807069,0.808078,STAR,-0.366053
-0.516165,-0.139441,0.051297,0.157153,0.245774,-0.169637,STAR,-0.366608
0.171512,0.373465,0.42289,0.452456,0.494228,0.027136,STAR,-0.367537
-1.149042,-1.036775,-0.837888,-0.639448,-0.531947,-1.061264,STAR,-0.368363
1.124673,0.250503,-0.192811,-0.319158,-0.446268,-1.780715,GALAXY,-0.087668
-0.302791,-0.057717,-0.12419,-0.314912,-0.344219,-0.483244,GALAXY,-0.142992
0.576658,0.596741,0.531979,0.379553,0.367811,0.309996,GALAXY,-0.16551
0.974862,0.209976,-0.280215,-0.419272,-0.567543,-1.713074,GALAXY,-0.015524
-0.383338,-0.54165,-0.454318,-0.364006,-0.286888,0.371488,STAR,-0.368209
1.012061,0.699595,0.648948,0.668702,0.734623,-1.473257,STAR,-0.367619
-2.174518,-1.565709,-1.15666,-0.948378,-0.780869,-0.532437,STAR,-0.369275
-0.691942,-0.406422,-0.154715,-0.025631,0.065403,0.045583,STAR,-0.367269
0.868844,0.270931,0.028803,-0.084177,-0.192865,1.496782,GALAXY,-0.274838
-0.163431,0.031276,0.172842,0.269346,0.344754,0.027136,STAR,-0.368264
1.129302,0.934009,0.6038,0.403362,0.279088,-0.341814,GALAXY,-0.039338
0.108769,-0.536229,-0.729458,-0.691812,-0.648542,0.008688,STAR,-0.367912
1.026756,1.262657,1.264168,1.288989,1.338376,-1.245739,STAR,-0.369102
-0.242736,-0.816241,-0.878488,-0.807619,-0.750097,0.014837,STAR,-0.367422
0.73862,1.057312,1.055068,0.940583,0.928018,1.51523,GALAXY,-0.011246
1.087606,0.797091,0.423446,0.241168,0.142798,0.088627,GALAXY,0.022003
0.72999,0.673586,0.511057,0.380318,0.291519,-0.649271,GALAXY,-0.200892
-0.65438,-1.084784,-1.271567,-1.346977,-1.443217,-0.735359,GALAXY,-0.317539
0.934528,1.184207,1.251194,1.294783,1.359936,-0.181936,STAR,-0.368651
0.273407,1.512154,1.776232,1.776316,1.72506,-0.753807,QSO,4.636657
-2.348426,-2.761867,-2.781782,-2.772489,-2.735803,1.607467,GALAXY,-0.288129
1.131785,1.337993,1.473654,1.535303,1.566265,-0.415603,STAR,-0.368218
-0.781445,-0.318565,-0.057086,0.070007,0.156801,0.328444,STAR,-0.367149
-0.735723,-1.341902,-1.555116,-1.603833,-1.653383,-0.895237,GALAXY,-0.16964
0.432416,1.450434,1.610895,1.573205,1.42883,1.392247,QSO,5.000648
-2.274485,-2.154015,-1.905101,-1.705714,-1.54845,0.027136,STAR,-0.367877
-1.634495,-1.296889,-1.064877,-0.895389,-0.769174,-0.157339,STAR,-0.367547
0.64796,0.229947,0.026788,-0.060597,-0.148892,-0.969027,GALAXY,-0.231939
-1.180034,0.113436,0.41146,0.566759,0.727642,-0.483244,QSO,2.688131
-0.495576,-0.35703,-0.225417,-0.164025,-0.094587,-0.520139,STAR,-0.368262
0.075221,0.281676,0.314772,0.227558,0.252144,0.371488,GALAXY,-0.141165
0.575923,-0.397834,-0.837445,-0.954831,-1.075469,2.320769,GALAXY,-0.146737
-1.753677,-1.345303,-0.937702,-0.731024,-0.565144,-1.682328,STAR,-0.367125
1.076202,0.733309,0.715327,0.669449,0.733586,-0.009759,GALAXY,-0.266635
1.016847,0.290147,-0.024018,-0.139768,-0.240257,-0.846044,GALAXY,-0.170836
0.027619,0.054117,0.119032,0.12093,0.16435,-0.071251,GALAXY,-0.27758
0.521244,1.193943,1.098464,1.134304,0.818839,1.527528,GALAXY,0.373496
0.961361,0.805796,0.60783,0.511731,0.412143,-1.553196,GALAXY,-0.167795
0.063046,-0.043762,-0.161447,-0.263022,-0.347204,-0.200383,GALAXY,-0.162254
-1.423315,-0.92308,-0.656573,-0.495682,-0.382708,1.343054,STAR,-0.367522
0.010502,1.081003,0.651255,0.456456,0.205622,1.65666,QSO,0.371996
1.147323,-0.152599,-0.474872,-0.4826,-0.450188,-1.713074,STAR,-0.367991
0.444579,1.341926,1.511891,1.548113,1.423329,0.156268,GALAXY,-0.318834
0.387079,1.472871,1.725529,1.600557,1.610463,-0.698464,QSO,4.079375
-1.011997,-1.455957,-1.610301,-1.64344,-1.697915,1.582871,GALAXY,-0.193335
1.109653,2.4354,2.967486,3.23966,3.350424,-0.507841,STAR,-0.368099
0.971052,1.011524,0.650332,0.438371,0.345565,-0.015909,GALAXY,-0.044303
0.423013,0.239449,-0.104512,-0.257922,-0.371272,-1.313379,GALAXY,0.029134
0.201382,0.258177,0.098996,-0.03132,-0.129991,0.580559,GALAXY,-0.061345
0.350109,1.295032,1.478099,1.37682,1.470879,1.964118,QSO,3.748666
-0.385858,-0.180032,0.009896,0.123752,0.230777,0.900315,STAR,-0.368231
-0.104509,0.049101,0.103129,0.165646,0.236913,0.857271,STAR,-0.366106
-1.08736,-0.42177,-0.474787,-0.618022,-0.645975,0.71584,QSO,-0.143051
-2.820679,-2.325699,-1.88256,-1.622964,-1.418589,-0.821447,STAR,-0.368142
-0.515261,-0.550621,-0.665866,-0.794115,-0.862896,0.119373,GALAXY,-0.172834
-2.126385,-1.762477,-1.153807,-0.856406,-0.645867,-1.374871,STAR,-0.368416
0.877896,1.852855,2.169811,2.28528,2.117753,-1.657732,QSO,1.572138
-1.287318,0.05856,0.490258,0.540621,0.467619,-0.15119,QSO,4.918787
0.440456,0.011688,-0.298877,-0.421197,-0.554276,-1.098159,GALAXY,-0.160421
1.148179,1.546315,1.717536,1.801478,1.773145,1.422993,QSO,6.511944
-1.930634,-0.586673,-0.34425,-0.493053,-0.361508,1.638213,QSO,0.010827
-1.399869,-1.174362,-0.914323,-0.758094,-0.624365,-0.815298,STAR,-0.367552
-0.160031,-0.967455,-1.074773,-1.038223,-0.974332,-1.036668,STAR,-0.367966
1.060532,0.337115,-0.023387,-0.15802,-0.279088,-0.114295,GALAXY,-0.181812
0.581335,0.727739,0.837249,0.911297,0.952045,0.119373,STAR,-0.366258
0.733811,0.005364,-0.377468,-0.507973,-0.637406,-0.895237,GALAXY,-0.168268
-0.888391,-0.402893,-0.17301,-0.069107,0.023102,0.72199,STAR,-0.369598
1.096803,1.473158,1.378821,1.18309,1.180209,1.312308,GALAXY,0.020365
-1.653806,-1.522461,-1.314596,-1.162013,-1.02964,1.632064,STAR,-0.367837
0.124994,0.38132,0.56127,0.630219,0.724507,-0.778403,STAR,-0.368046
-0.121252,0.122513,0.21234,0.21787,0.159743,0.322295,GALAXY,-0.26734
-1.393155,-1.346493,-1.231532,-1.1239,-1.010881,0.93721,STAR,-0.367286
-0.282781,-0.044155,0.529643,0.864612,0.985977,-0.630824,GALAXY,-0.3035
0.576116,0.35342,0.281384,0.281708,0.303867,0.918762,STAR,-0.368415
1.033181,0.911487,0.803654,0.797723,0.815771,0.469874,STAR,-0.36846
0.592136,0.418414,0.316193,0.206405,0.123127,2.265426,GALAXY,-0.223095
0.9799,0.365643,-0.064609,-0.307667,-0.532466,1.736599,GALAXY,-0.233254
0.898099,1.074052,0.990157,1.011674,1.016223,-0.034356,STAR,-0.369743
-3.021228,-2.658089,-2.273559,-2.053328,-1.86262,-0.790701,STAR,-0.368356
-0.102122,-0.018604,-0.051766,-0.116724,-0.158882,-1.497854,GALAXY,-0.167393
0.308823,0.61279,0.708708,0.591931,0.614592,-1.768416,GALAXY,-0.205605
1.070911,0.287023,-0.105933,-0.228557,-0.356993,-0.15119,GALAXY,-0.149896
-0.925229,-0.750141,-0.652204,-0.671055,-0.680434,-0.421752,GALAXY,-0.252746
-0.610334,-0.189204,0.081134,0.214546,0.31384,0.168566,STAR,-0.369225
0.914939,0.662426,0.465053,0.319241,0.190574,-0.759956,GALAXY,-0.14559
0.142027,-0.563651,-0.836268,-0.914793,-1.053457,1.841135,GALAXY,-0.186447
-0.714073,-0.755371,-0.681543,-0.600148,-0.537766,-1.042817,STAR,-0.368216
-0.096903,0.773304,0.919098,0.770767,0.919817,-0.975176,GALAXY,0.011339
0.33175,0.430499,0.366529,0.277795,0.248658,0.851122,GALAXY,-0.155739
-0.261939,-0.533732,-0.550074,-0.499278,-0.427023,-0.839895,STAR,-0.367977
0.699275,0.653626,0.453265,0.249336,0.222241,0.193163,GALAXY,-0.08055
0.094557,0.154037,0.18512,0.141204,0.121982,-0.434051,GALAXY,-0.254827
-0.761001,-1.586063,-1.799082,-1.860144,-1.933955,-0.304919,GALAXY,-0.183949
0.357607,0.325211,0.117064,-0.003256,-0.105296,1.275413,GALAXY,-0.066641
0.459779,1.618398,1.95025,1.860314,1.939806,1.140132,QSO,4.310514
0.913252,0.962196,0.901774,0.900966,0.909251,1.349203,STAR,-0.3685
0.300409,0.006427,-0.195042,-0.30655,-0.37556,-0.593929,GALAXY,-0.050932
0.204794,0.345799,0.471719,0.562988,0.634204,-1.356423,STAR,-0.367931
0.039456,-0.65527,-0.98428,-1.08598,-1.21486,-0.65542,GALAXY,-0.11482
-0.407857,-1.342125,-1.552094,-1.525673,-1.455882,0.193163,STAR,-0.367735
0.204962,0.316443,0.385802,0.445158,0.506057,0.463725,STAR,-0.367463
-0.914718,-1.167943,-1.097163,-0.97231,-0.880067,-1.626986,STAR,-0.368266
0.622091,0.562506,0.449866,0.33671,0.213514,0.21161,GALAXY,-0.243933
0.162314,0.486862,0.626718,0.700625,0.780493,-1.559345,STAR,-0.368084
-2.461954,-1.841458,-1.394214,-1.212469,-1.030702,1.054044,GALAXY,-0.348955
-0.292328,-1.023117,-1.154156,-1.093726,-1.015922,0.248505,STAR,-0.368565
0.831017,1.034184,0.640163,0.465802,0.356458,-0.200383,GALAXY,0.162118
-0.455628,-0.459629,-0.320109,-0.201461,0.684104,-0.477095,STAR,-0.368056
-1.016384,-0.499093,-0.239851,-0.112425,-0.007319,0.205461,STAR,-0.366454
1.02819,1.09802,1.206828,1.251887,1.361341,-0.993623,STAR,-0.369615
0.935962,0.994741,0.968455,0.860796,0.823721,-1.713074,GALAXY,-0.212503
0.73187,1.926405,2.01066,2.163661,2.246076,-0.569332,QSO,2.700034
0.724203,0.473725,0.347048,0.391519,0.401777,-0.470946,STAR,-0.368697
-0.223184,-0.78766,-1.053117,-1.159867,-1.27985,-0.243427,GALAXY,-0.223278
0.951247,2.117572,2.184913,2.261665,2.198342,0.72199,QSO,2.091285
1.092018,0.963047,0.622707,0.424805,0.286311,-0.698464,GALAXY,-0.057711
0.463191,0.818635,0.959792,1.033487,1.098977,0.512918,STAR,-0.367461
-0.16284,-0.842983,-1.177902,-1.305866,-1.401267,1.607467,GALAXY,-0.252998
-0.523084,-0.607664,-0.503674,-0.397371,-0.294211,-1.780715,STAR,-0.368425
0.542038,0.596199,0.384409,0.238205,0.154034,-1.608539,GALAXY,0.013081
0.839781,0.934838,0.801263,0.622043,0.565194,0.519068,GALAXY,-0.111103
0.195741,0.190068,0.147222,0.092532,0.019616,0.857271,GALAXY,-0.283102
-1.597561,-1.04278,-0.68417,-0.514875,-0.37429,0.107074,STAR,-0.366897
-0.839053,-0.664538,-0.490097,-0.458044,-0.438694,-0.858342,GALAXY,-0.256377
0.637099,0.656336,0.212566,0.049346,-0.065445,0.709691,GALAXY,0.052339
-0.976521,-0.65679,-0.469929,-0.370081,-0.271197,-0.101997,STAR,-0.368073
-0.168578,0.810589,1.49145,1.834773,2.152488,0.236207,STAR,-0.368276
0.723227,0.816658,0.721184,0.5832,0.522417,0.199312,GALAXY,-0.137542
-0.387292,-1.188254,-1.450736,-1.533119,-1.597924,1.607467,GALAXY,-0.256379
0.75992,0.921914,0.815123,0.794312,0.799612,-1.756118,STAR,-0.367524
-3.001217,-2.406307,-1.873446,-1.599156,-1.377559,0.525217,STAR,-0.368248
0.897159,0.451607,0.090964,-0.077785,-0.221414,2.394558,GALAXY,-0.127357
0.465734,0.606573,0.601107,0.603123,0.643659,1.459888,STAR,-0.369749
0.478717,-0.410737,-0.767601,-0.874183,-0.972869,-0.993623,GALAXY,-0.19061
-0.456243,-1.169133,-1.34789,-1.407773,-1.455899,1.681257,GALAXY,-0.230986
0.209037,-0.588225,-0.904823,-1.005552,-1.104101,1.177027,GALAXY,-0.153994
0.153466,0.352006,0.36361,0.294597,0.298792,0.494471,GALAXY,-0.069025
-1.333667,-1.126119,-1.034145,-1.064009,-1.052329,-1.005922,GALAXY,-0.185601
-1.204131,-0.803784,-0.512835,-0.370028,-0.226522,0.131671,STAR,-0.367835
-1.381836,-1.210372,-1.085479,-1.003046,-0.929925,-1.700776,STAR,-0.366341
1.152627,0.78304,0.466654,0.293313,0.143007,-0.022058,GALAXY,-0.177046
-0.351515,-0.445556,-0.524492,-0.625996,-0.688685,-0.022058,GALAXY,-0.194758
-0.162249,-0.673488,-0.916291,-1.003055,-1.087766,0.113224,GALAXY,-0.201323
-0.552919,-0.856927,-1.025784,-1.070102,-1.137022,0.346891,GALAXY,-0.178801
1.064196,0.412919,-0.017663,-0.187983,-0.344328,0.236207,GALAXY,-0.101021
-1.584771,-1.49116,-1.297215,-1.124462,-1.013389,-0.120444,STAR,-0.367979
0.383523,1.299507,1.499312,1.415672,1.462252,-0.569332,QSO,1.141884
0.932515,0.77256,0.690988,0.684888,0.704703,0.519068,STAR,-0.367953
1.114041,-0.113624,-0.511253,-0.602715,-0.628378,-1.725372,STAR,-0.368213
-2.231668,-1.928294,-1.162018,-0.813202,-0.583527,-1.116606,STAR,-0.368158
-0.972121,-1.322589,-1.363105,-1.393398,-1.41002,0.814227,GALAXY,-0.193078
0.628058,0.62343,0.479214,0.3533,0.3143,-0.526288,GALAXY,-0.054212
0.886973,1.114569,1.226478,1.280144,1.316223,-0.126593,STAR,-0.366905
0.126452,-0.456961,-0.769531,-0.883828,-0.995591,-0.046654,GALAXY,-0.116159
0.444241,0.433645,0.616963,0.700616,0.78754,0.912613,STAR,-0.368094
0.463227,0.196392,0.070514,-0.070435,-0.171564,1.410694,GALAXY,-0.265641
0.867457,-0.327015,-0.732424,-0.792946,-0.811391,1.343054,STAR,-0.367886
0.957106,0.570786,0.187718,0.025063,-0.109835,-1.079712,GALAXY,-0.056684
-0.16284,-0.61605,-0.687898,-0.663115,-0.611926,0.008688,STAR,-0.368247
-0.406627,-0.839103,-0.874119,-0.819787,-0.764116,0.045583,STAR,-0.368138
0.010586,-0.13469,-0.165741,-0.259505,-0.332223,-0.58163,GALAXY,-0.187256
0.595029,0.170894,-0.110632,-0.277581,-0.457428,1.44144,GALAXY,-0.238131
1.042547,0.710404,0.630098,0.660868,0.67057,-0.415603,STAR,-0.367977
0.290223,0.280635,0.124832,0.003831,-0.050615,1.146281,GALAXY,-0.179461
0.967328,0.360785,-0.044723,-0.206147,-0.369717,-1.59624,GALAXY,-0.120699
-0.690001,-0.59626,-0.479881,-0.3845,-0.293668,-0.126593,STAR,-0.367557
0.650756,-0.232888,-0.542278,-0.641874,-0.751593,-1.214993,GALAXY,-0.189303
1.107568,0.859311,0.751426,0.732786,0.7302,0.420681,STAR,-0.366966
-0.609743,-0.217381,0.06944,0.210485,0.305304,0.814227,STAR,-0.367585
0.897955,0.531035,0.228742,0.031121,-0.089722,-0.501691,GALAXY,-0.128552
0.717574,0.853125,0.879478,0.901977,0.941402,-1.756118,STAR,-0.368343
-0.017199,-0.70886,-1.004317,-1.110404,-1.22592,1.810389,GALAXY,-0.181331
-1.28387,-1.229025,-1.101297,-0.989269,-0.909117,-0.415603,STAR,-0.367573
-2.431095,-2.504983,-2.189808,-1.976636,-1.815036,0.488322,STAR,-0.368103
0.749698,0.369682,0.31947,0.354057,0.437072,0.488322,STAR,-0.368177
0.059502,-0.706075,-0.95754,-1.033396,-1.133068,-0.00361,GALAXY,-0.21393
1.106628,1.204359,1.358342,1.448817,1.497397,-0.268024,STAR,-0.369204
1.070694,2.004834,2.154906,1.957403,1.92297,0.162417,QSO,4.140398
-0.450626,-0.444738,-0.460635,-0.51884,-0.55324,-0.458647,GALAXY,-0.247766
1.059266,0.133364,-0.476642,-0.636617,-0.773487,0.316146,GALAXY,0.003178
0.710269,0.717408,0.639071,0.628901,0.638953,-0.341814,STAR,-0.367412
-2.19172,-2.23645,-2.01289,-1.822004,-1.679365,0.168566,STAR,-0.368365
-1.337283,-1.159185,-0.946873,-0.781745,-0.660797,-1.774566,STAR,-0.368063
0.563869,0.786346,0.725477,0.581125,0.533293,1.103237,STAR,-0.366881
0.513385,0.218542,-0.122392,-0.280245,-0.442146,0.740437,GALAXY,-0.043961
0.883357,0.704909,0.583886,0.472686,0.42067,-0.630824,GALAXY,-0.11253
-0.183381,-0.017977,0.352311,0.56988,0.732257,-0.175786,STAR,-0.367634
1.084363,0.908341,0.788693,0.774855,0.761792,-0.132742,STAR,-0.367117
0.281857,0.2393,0.131009,0.009976,-0.038928,1.146281,GALAXY,-0.179413
0.798109,1.088337,1.14944,1.2042,1.25752,-1.633135,STAR,-0.369301
-3.23553,-2.601491,-2.097884,-1.842305,-1.65564,0.371488,STAR,-0.367128
0.57215,0.685193,0.671545,0.540269,0.50905,-0.323366,GALAXY,-0.130257
-0.024782,1.062701,1.251721,1.356449,1.438502,0.340742,QSO,2.48416
-0.401359,-1.041653,-1.21063,-1.249272,-1.309636,-0.65542,GALAXY,-0.244416
-2.736998,-2.496618,-2.308312,-2.205631,-2.175545,-0.231129,GALAXY,-0.312399
0.916085,0.244997,-0.323009,-0.495594,-0.677408,-0.083549,GALAXY,-0.067705
-0.773477,-0.378819,-0.115933,0.004297,0.077408,-0.87679,GALAXY,-0.318872
0.743466,0.617913,0.388279,0.266885,0.223186,-0.735359,GALAXY,-0.085187
0.997271,0.090945,-0.333187,-0.446131,-0.588117,0.039434,GALAXY,-0.072133
-0.889235,0.392129,1.141352,1.534591,1.76634,1.613616,STAR,-0.369304
-0.514031,-0.436129,0.191324,0.485478,0.660145,0.765034,STAR,-0.365623
1.107785,0.870163,0.754402,0.644884,0.620862,-0.341814,GALAXY,-0.153888
0.628661,1.658489,1.713864,1.699905,1.745809,0.728139,QSO,3.156212
1.180991,0.396349,0.09844,-0.021525,-0.144687,-1.030518,GALAXY,-0.23606
1.072695,0.415597,0.610401,0.596977,1.129791,-1.424064,GALAXY,-0.232363
-2.483266,-2.675126,-2.415084,-2.17667,-1.967101,0.992552,STAR,-0.368001
0.114,-0.459576,-0.761471,-0.844264,-0.927701,-0.212681,GALAXY,-0.158109
0.03713,0.062567,0.033275,-0.044947,-0.13866,-0.643122,GALAXY,-0.174413
0.779099,0.554259,0.501698,0.561106,0.608331,0.568261,STAR,-0.367523
0.981805,0.707555,0.659051,0.671366,0.709886,0.488322,STAR,-0.367232
0.655735,-0.182381,-0.637478,-0.750868,-0.886286,-1.473257,GALAXY,-0.068708
1.0154,0.805222,0.574574,0.512821,0.4908,1.576721,STAR,-0.368257
0.257519,0.54904,0.618686,0.686321,0.637782,-1.276484,GALAXY,-0.32376
0.146426,-0.649478,-0.979318,-1.060281,-1.162854,0.918762,GALAXY,-0.157308
1.159582,0.382181,0.14194,0.089886,0.073345,-0.194234,STAR,-0.367931
0.395349,1.529489,1.658133,1.606465,1.582918,-0.169637,QSO,3.553873
-1.538735,0.315263,1.177677,1.57914,1.861174,1.644362,STAR,-0.367966
-1.539061,-1.270413,-1.086053,-0.949749,-0.878579,-0.212681,STAR,-0.367945
1.150542,0.407264,0.068753,-0.064421,-0.19442,-1.024369,GALAXY,-0.227884
0.188665,0.312691,0.450346,0.439189,0.474415,-0.175786,GALAXY,-0.148831
-0.375262,-0.080112,0.359477,0.573239,0.713556,0.439129,STAR,-0.368016
-1.240812,-1.539073,-1.667999,-1.757727,-1.793301,2.001013,GALAXY,-0.226157
0.4484,0.780096,0.86397,0.823202,0.858231,0.168566,GALAXY,-0.014633
-2.448489,-0.479951,0.532412,1.026541,1.354829,0.691244,STAR,-0.368773
0.339417,0.264331,0.220164,0.281734,0.326028,0.844973,STAR,-0.368523
0.254228,-0.024822,-0.075352,-0.14383,-0.163204,-0.022058,GALAXY,-0.119982
0.402147,0.615065,0.881304,0.93966,1.03285,1.336905,GALAXY,-0.223766
-0.224787,-0.011546,0.093629,0.078439,0.07337,1.373799,GALAXY,-0.255664
-0.007038,0.126573,0.166938,0.22282,0.243676,-1.700776,STAR,-0.36643
0.021001,-0.559272,-0.771489,-0.951921,-1.119216,0.42683,GALAXY,-0.261822
0.477523,0.349508,0.268278,0.212269,0.183811,1.404545,GALAXY,-0.264443
-1.687004,-1.711789,-1.552922,-1.432434,-1.330092,-0.181936,STAR,-0.367727
-0.084185,0.009062,-0.110858,-0.237182,-0.291494,0.008688,GALAXY,-0.145979
0.626165,0.769839,0.771369,0.595491,0.594378,0.894166,GALAXY,-0.156053
-2.484508,-0.709476,0.102056,0.424497,0.639463,2.271575,STAR,-0.367869
0.445603,0.126573,-0.074514,-0.186128,-0.251835,0.131671,GALAXY,-0.265642
0.092748,0.245486,0.274953,0.314361,0.375953,-0.237278,STAR,-0.368369
0.953947,0.200622,-0.249002,-0.415438,-0.567995,-1.460959,GALAXY,-0.170184
0.414503,0.463628,0.459818,0.483438,0.523496,-0.22498,STAR,-0.366297
-1.745528,0.180269,1.128829,1.594103,1.912545,0.06403,STAR,-0.367827
1.089667,0.841508,0.732275,0.585767,0.480802,-0.132742,GALAXY,-0.143011
0.659447,0.666029,0.622867,0.618218,0.62638,1.521379,STAR,-0.368208
-0.133946,1.078782,1.501016,1.399864,1.327785,-0.87679,QSO,0.711645
-1.848737,-1.260571,-0.882866,-0.692902,-0.54738,0.014837,STAR,-0.368178
0.253324,-0.093408,-0.191059,-0.18895,-0.163848,0.027136,STAR,-0.367651
0.120835,0.028694,0.037776,0.120376,0.17658,1.638213,STAR,-0.368125
0.702759,0.581043,0.44383,0.359965,0.40533,-0.526288,GALAXY,-0.334013
-2.598988,-2.287202,-1.926936,-1.710066,-1.521991,-0.495542,STAR,-0.367859
-1.344287,-1.102895,-0.537843,-0.263101,-0.073571,1.705854,STAR,-0.368298
-0.659093,-0.043337,0.049282,-0.214649,-0.099302,-0.501691,QSO,-0.015896
1.131616,0.691155,0.386254,0.219531,0.09488,-1.756118,GALAXY,-0.15568
0.135963,0.372711,0.475316,0.417121,0.494629,1.109386,GALAXY,-0.080049
0.770323,1.056164,1.094048,1.111419,1.140015,-0.999773,STAR,-0.369599
-0.283154,-0.528013,-0.650302,-0.731244,-0.730008,-1.239589,GALAXY,-0.180683
-0.725549,-0.515376,-0.43463,-0.465491,-0.479331,-0.391007,GALAXY,-0.246158
1.05166,0.902293,0.550781,0.352553,0.227633,0.06403,GALAXY,-0.068913
0.303567,0.53568,0.576335,0.564043,0.560998,0.291549,GALAXY,-0.268301
0.834549,-0.551216,-1.005767,-1.053714,-1.058055,-1.682328,STAR,-0.368286
0.625527,0.338157,0.080127,-0.055603,-0.163188,0.783481,GALAXY,-0.151365
0.807559,0.168885,-0.073036,-0.139715,-0.152078,1.306159,STAR,-0.367963
0.814032,1.632396,1.951201,2.16542,2.299504,-0.034356,STAR,-0.368066
1.056482,1.398449,1.461923,1.274456,1.325101,0.869569,GALAXY,-0.085845
0.378027,1.436128,1.733344,1.629667,1.671465,-0.520139,QSO,4.140703
-1.775724,-0.576565,0.253919,0.67839,0.988192,0.266952,STAR,-0.368186
0.188484,0.000496,0.042437,0.109465,0.200238,0.654349,STAR,-0.368226
0.924245,1.306012,1.212402,1.027851,1.021322,-0.028207,GALAXY,-0.0261
0.775844,0.813576,0.446853,0.254813,0.142322,-0.218831,GALAXY,0.092587
0.014552,0.317697,0.503468,0.384248,0.531521,-1.590091,GALAXY,-0.11767
1.039521,0.256072,-0.186879,-0.304757,-0.370812,1.183176,GALAXY,0.132281
0.428004,0.709384,0.854649,0.919975,1.000423,1.373799,STAR,-0.370064
-1.649382,-1.157144,-0.788108,-0.611533,-0.469307,-1.055115,STAR,-0.369419
-1.042566,-1.590495,-1.734765,-1.747528,-1.780285,0.875718,GALAXY,-0.213155
0.893965,0.550454,0.464676,0.492679,0.514174,0.002539,STAR,-0.368216
0.854053,0.792542,0.590524,0.450601,0.365779,-0.028207,GALAXY,-0.07307
-0.294293,-0.559485,-0.693463,-0.759967,-0.834807,0.734288,GALAXY,-0.245124
-1.48877,-2.034124,-2.123353,-2.127594,-2.113992,-0.391007,GALAXY,-0.250405
-1.008489,-1.274845,-1.332684,-1.309787,-1.257002,0.180864,STAR,-0.369893
-1.094991,-0.867503,-0.647779,-0.503384,-0.383878,0.316146,STAR,-0.36809
0.640004,0.524403,0.372611,0.24196,0.153917,1.58902,GALAXY,-0.135245
1.027985,1.559887,1.672435,1.438662,1.504168,1.552125,GALAXY,-0.19338
-1.452872,-0.286552,0.529154,0.946887,1.219767,-0.612376,STAR,-0.367629
-0.379734,-0.442038,-0.503165,-0.776162,-0.63326,1.44144,GALAXY,-0.111066
1.058832,0.23947,-0.152371,-0.287375,-0.389655,-0.360261,GALAXY,-0.122155
-0.553172,-0.153248,0.02127,0.12908,0.224507,-1.793013,STAR,-0.366734
-1.056634,-0.666526,-0.384869,-0.23305,-0.123989,-0.907535,STAR,-0.366881
-0.671413,-1.232586,-1.454841,-1.52475,-1.626464,1.625915,GALAXY,-0.288275
-1.743081,-1.717815,-1.653377,-1.642078,-1.630669,-1.159651,GALAXY,-0.253706
-0.167372,0.038748,0.061861,-0.040384,-0.063313,-0.212681,GALAXY,-0.182693
-0.066152,0.045763,0.170497,0.230152,0.323487,0.020986,STAR,-0.367085
