@relation 'output-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V-weka.filters.unsupervised.attribute.Remove-R3,5,9,13,15-19'

@attribute Season {winter,spring,summer,autumn}
@attribute Location {Cobar,CoffsHarbour,Moree,NorfolkIsland,Sydney,SydneyAirport,WaggaWagga,Williamtown,Canberra,Sale,MelbourneAirport,Melbourne,Mildura,Portland,Watsonia,Brisbane,Cairns,Townsville,MountGambier,Nuriootpa,Woomera,PerthAirport,Perth,Hobart,AliceSprings,Darwin}
@attribute Rainfall numeric
@attribute Sunshine numeric
@attribute WindGustSpeed numeric
@attribute WindSpeed9am numeric
@attribute Humidity9am numeric
@attribute Humidity3pm numeric
@attribute Pressure9am numeric
@attribute Cloud3pm numeric
@attribute RainTomorrow {No,Yes}

@data
summer,Woomera,0,11.4,57,13,62,23,1012.8,3,No
autumn,Watsonia,15.8,1.5,35,11,92,77,1014.1,8,No
autumn,Perth,0,8.8,37,11,59,64,1006.6,7,No
spring,Watsonia,0,2.3,15,2,99,63,1026.8,6,No
spring,MelbourneAirport,4.8,2.3,52,30,72,92,1009.9,7,No
winter,Sale,0.2,8.1,87,7,89,28,1006.4,4,No
winter,Cairns,0.4,9.6,43,13,71,59,1009.2,5,No
summer,Cairns,0,5.7,31,13,68,50,1018.7,5,No
winter,MelbourneAirport,0,10.2,41,9,77,52,1012,1,No
summer,MountGambier,3,3.3,81,22,93,78,1022.4,7,Yes
spring,Sale,0,9.5,28,7,84,56,1018.6,3,Yes
autumn,Townsville,0,10.5,35,15,57,61,1010.8,7,No
autumn,Darwin,0.4,11.6,31,13,70,36,1007.8,3,No
summer,Mildura,0,7.7,41,13,78,46,1022.3,6,No
winter,Moree,0,6.7,52,20,56,36,1008.3,6,No
winter,Cairns,0,10.8,33,9,66,59,1012,1,No
winter,Moree,0,12.2,48,24,51,36,1018.1,4,No
autumn,CoffsHarbour,5.8,10.3,33,6,74,59,1009.8,5,No
spring,Melbourne,4.4,3,39,4,93,54,1017.4,7,Yes
autumn,MountGambier,36.8,4.3,59,17,90,52,1014.6,8,Yes
autumn,Moree,0,12,41,15,34,11,1021.6,0,No
autumn,Hobart,6.6,12,69,30,42,32,1001.7,1,No
spring,Sale,0,7,35,6,87,44,1019.6,7,No
autumn,CoffsHarbour,9.6,11.9,52,15,38,36,1002,1,No
summer,Watsonia,1,2.7,69,17,77,69,1012.8,7,Yes
autumn,MelbourneAirport,0.2,9,39,15,74,41,1015.8,7,No
winter,WaggaWagga,0,12.9,54,19,38,8,1011.9,0,No
autumn,MountGambier,0.6,12.3,39,13,79,48,1010.7,6,No
winter,SydneyAirport,0.4,12.8,59,7,67,50,1017.1,3,No
summer,Nuriootpa,0.6,1.4,31,7,86,74,1018.5,7,Yes
winter,WaggaWagga,0,10.6,52,6,25,12,1011.2,4,No
winter,Brisbane,0,9,31,17,55,47,1014.4,2,No
summer,Portland,0.8,0,28,9,80,82,1028.6,8,No
spring,Brisbane,0.2,10.2,31,7,61,48,1023.6,3,No
spring,Darwin,0.2,10.9,33,13,85,63,1012.6,5,No
autumn,Darwin,0.2,10.6,31,13,61,50,1010.4,7,No
spring,Sydney,2.2,0.8,39,17,80,84,1014.4,7,Yes
autumn,Watsonia,0.8,11.2,41,7,67,46,1022.9,6,No
autumn,Perth,0,8.9,35,17,59,71,1008.9,7,No
summer,MelbourneAirport,5.6,6.1,69,26,65,40,1007.9,5,No
summer,SydneyAirport,0.6,8.3,50,17,51,29,1011.7,4,No
summer,Moree,4,8.7,37,11,89,33,1012.4,5,No
spring,AliceSprings,0,11.5,44,19,55,24,1018.2,0,No
autumn,Perth,0.4,13,39,13,60,44,1015.5,4,No
summer,Nuriootpa,1,2.5,39,11,82,71,1019.6,7,Yes
winter,WaggaWagga,0,13,30,15,58,25,1019.2,1,No
spring,Cairns,0,10.6,48,20,64,52,1015.6,1,No
summer,Mildura,2.8,3.3,43,20,83,62,1013.5,7,No
winter,Hobart,1,8.5,63,15,72,41,1008.7,7,No
winter,Nuriootpa,0,13.4,41,9,45,17,1015.6,3,No
autumn,Williamtown,0,11,35,9,67,44,1014.6,2,No
spring,Hobart,0,7.3,19,6,83,71,1027.4,4,No
summer,Portland,0,6,37,11,58,56,1023.4,8,Yes
spring,Mildura,0,9.4,31,7,82,40,1022.9,2,No
summer,Hobart,1.6,6.1,44,24,62,53,1017.5,8,No
autumn,Watsonia,0,4.6,52,6,84,29,1011.2,7,No
summer,Brisbane,0,8.1,17,6,79,57,1021.5,2,No
summer,Watsonia,0.2,9.9,46,15,71,58,1022.9,6,No
spring,AliceSprings,0,8.3,35,4,44,23,1022.4,7,No
winter,Melbourne,0,10.1,46,13,69,38,1017.1,1,No
spring,Hobart,0.4,3.7,98,22,66,45,988.1,4,Yes
summer,NorfolkIsland,0.6,4.8,54,28,86,68,1004.9,4,Yes
spring,Hobart,0,5.9,35,19,66,55,1030.3,7,No
winter,Darwin,0,3.2,30,7,81,69,1007.1,7,No
autumn,AliceSprings,0,12.4,39,17,3,3,1012.1,1,No
summer,SydneyAirport,0,9.8,74,44,32,26,1009,1,No
summer,SydneyAirport,0,10.5,46,13,48,44,1025.1,1,No
winter,Moree,0,13.4,54,15,34,15,1012.1,1,No
summer,Cairns,3,0,35,15,96,97,1017.4,8,Yes
spring,Woomera,0,10.4,31,20,55,31,1025,1,No
autumn,SydneyAirport,1.4,10.6,33,17,62,42,1032.9,1,No
summer,MountGambier,5.4,1.7,43,24,94,84,1015.7,5,No
autumn,Sale,0.6,11.8,39,9,54,42,1026,3,No
spring,Cairns,5.2,10.8,56,22,68,44,1013.8,1,No
spring,Townsville,0,11.1,35,15,66,62,1017.1,3,No
summer,MelbourneAirport,0,8.8,70,43,60,46,1024.9,1,No
summer,Sale,4.6,6.4,70,33,76,66,1002.4,6,No
winter,Sydney,0,2.6,65,22,62,68,1001.1,7,Yes
autumn,Watsonia,0,11,41,6,81,42,1016.8,1,No
winter,Portland,0,11.6,44,24,81,59,1020.2,2,No
winter,NorfolkIsland,0.6,4.5,37,24,76,65,1014,4,No
summer,MelbourneAirport,4.2,1.5,39,11,96,67,1016,3,Yes
winter,Hobart,0,4.2,54,19,59,87,1006.2,7,No
autumn,MelbourneAirport,3.2,7.5,28,15,83,45,1015.3,2,No
summer,Portland,3,5.4,46,24,80,79,1021,8,Yes
autumn,Brisbane,0,3.1,28,4,69,66,1013.2,2,Yes
summer,Cairns,0,11,41,19,46,44,1018.7,2,No
autumn,Darwin,0,11.5,33,13,62,51,1010.9,2,Yes
summer,MelbourneAirport,13.2,10.2,31,9,61,42,1023.4,0,No
summer,Hobart,0,1.2,28,9,74,70,1011.4,7,Yes
spring,Sydney,0,2.3,26,15,61,59,1022.8,8,No
spring,AliceSprings,0,3.4,26,9,52,32,1020.2,8,No
winter,MelbourneAirport,0,11.7,35,22,49,40,1020.3,2,No
autumn,Sydney,8.6,9.3,30,7,77,43,1014.9,3,No
summer,Cairns,0,10.8,31,17,60,59,1017.7,1,No
autumn,Darwin,0,9.2,50,11,70,46,1018.8,4,No
autumn,Perth,0,12.1,33,13,25,15,1019.5,1,No
spring,PerthAirport,0,10.2,48,28,46,24,1026.3,0,No
autumn,MelbourneAirport,0.6,8.3,37,9,68,40,1019.2,2,No
winter,Nuriootpa,0,12.4,39,17,64,19,1016.7,1,No
autumn,Sale,0,7.6,56,11,82,35,1015.3,6,Yes
autumn,Woomera,0,11.3,31,15,38,24,1019.7,1,No
winter,Moree,0,12.7,37,13,56,26,1016.7,2,No
summer,MountGambier,1.4,2.5,43,9,89,66,1022.4,7,No
autumn,Mildura,0,10.3,41,19,76,45,1012.9,1,No
autumn,WaggaWagga,0,9.7,31,17,57,33,1021.5,6,No
spring,Perth,16,6,22,6,94,61,1019.9,6,Yes
summer,WaggaWagga,4.2,4.2,31,15,88,73,1020.3,7,Yes
spring,Watsonia,0,7.2,17,6,91,40,1023.4,3,No
winter,Cairns,36.2,0.4,37,7,67,78,1006.2,8,Yes
spring,Brisbane,0,8.6,37,11,60,38,1020,4,No
autumn,NorfolkIsland,0.2,0,48,20,97,96,1011.1,8,Yes
autumn,Portland,9.2,1.2,24,13,72,60,1019.6,7,No
autumn,Perth,0,12.7,35,20,17,8,1017.8,2,No
autumn,AliceSprings,0,10.3,44,6,26,20,1012.7,7,Yes
spring,Perth,2,6.4,20,2,83,49,1018.6,2,Yes
summer,AliceSprings,0,10.3,35,6,37,10,1020.6,0,No
spring,Portland,0,6.9,31,7,90,70,1027.8,7,No
summer,PerthAirport,0,5.7,39,15,51,29,1022.1,7,No
spring,Melbourne,6.8,0.6,43,24,95,91,1012.3,7,Yes
spring,MountGambier,0,0.1,15,2,92,76,1023.1,8,No
winter,Mildura,0,12,28,17,43,16,1011.3,1,No
autumn,MelbourneAirport,0,11.9,46,31,50,40,1023.8,3,No
autumn,Mildura,17.6,6.6,50,19,76,42,1015.2,7,No
autumn,AliceSprings,0,6.8,43,24,37,21,1017.7,6,No
winter,SydneyAirport,0,12,39,13,50,39,1011.4,4,No
summer,Brisbane,0,9.1,15,6,75,55,1020,3,No
winter,Brisbane,1.6,1.8,31,4,81,58,1018.2,7,Yes
summer,Cairns,1.2,10.5,52,19,63,39,1020.6,1,No
winter,Townsville,0,2.2,39,17,62,57,1012.3,7,No
autumn,Moree,0,12.7,50,15,44,10,1010.6,7,No
winter,Darwin,20.6,10.5,26,13,80,62,1012,2,No
winter,Brisbane,0,9.7,37,13,58,56,1014.3,7,No
winter,Brisbane,0,13,33,13,49,39,1017.2,3,No
autumn,Canberra,0,9.5,44,17,74,44,1018.6,5,No
autumn,Brisbane,0,7.1,28,6,59,69,1014.1,6,Yes
winter,Watsonia,0,11.2,33,6,77,47,1015,1,No
autumn,Darwin,25.4,7.1,35,13,74,60,1007.4,7,No
spring,Townsville,3.4,0,50,39,85,88,1015.5,8,No
winter,Darwin,0,10.6,52,17,72,64,1011.7,3,Yes
autumn,Darwin,3.4,10.1,31,11,66,61,1010.8,7,Yes
autumn,Sale,12,12.8,37,15,70,35,1011.5,2,No
autumn,Townsville,0,11.3,52,24,58,48,1026.1,1,No
spring,Brisbane,0,9.8,15,2,57,36,1015.4,1,No
summer,Perth,0,10.4,22,7,58,44,1022.1,1,No
autumn,Sale,0,10.8,35,11,75,56,1019.7,3,No
summer,Sale,0.2,4,59,6,97,45,1013.6,7,Yes
spring,Moree,0,10.7,43,22,49,23,1019.1,2,No
winter,Portland,0.2,7.1,59,33,21,16,1005.1,7,Yes
autumn,SydneyAirport,0,11.1,33,17,54,33,1030.6,1,No
spring,SydneyAirport,0,10.1,61,28,43,32,1012,1,No
winter,SydneyAirport,0,13.2,52,22,57,42,1018.6,1,No
winter,SydneyAirport,1,5.3,39,9,80,49,1015.8,7,No
spring,Mildura,0,9.2,28,11,40,15,1023.8,1,No
summer,Mildura,0,6.3,37,19,77,69,1024.9,4,No
winter,MountGambier,0,10.9,31,9,79,51,1010.8,5,Yes
winter,SydneyAirport,0,10.6,44,24,81,63,1015.3,3,No
autumn,Sale,0,5.4,59,19,56,51,1008.2,6,No
spring,Darwin,0,10.9,43,22,51,27,1015,1,No
spring,PerthAirport,0,7.7,37,9,62,39,1023.3,6,No
autumn,SydneyAirport,1.2,0,52,19,91,85,1012.7,8,Yes
spring,Watsonia,2.4,6.3,35,13,81,48,1021.4,7,No
spring,Brisbane,0,0.7,24,6,72,57,1024.7,8,Yes
winter,Woomera,0,2.6,46,19,54,34,1009.8,8,No
spring,NorfolkIsland,0,1.5,31,15,87,85,1012.4,7,No
spring,Woomera,0,10.9,44,20,55,26,1027.3,2,No
summer,Brisbane,0.2,9.5,19,4,65,49,1023.2,1,No
spring,SydneyAirport,0,9.9,54,13,57,39,1018.3,1,No
spring,WaggaWagga,0,9.8,19,9,82,46,1033.8,0,No
spring,Sale,0,4.1,19,13,71,55,1025.6,6,No
winter,Woomera,0.2,9.1,44,26,67,33,1013.5,3,No
autumn,Darwin,5.6,4.2,35,17,79,60,1007.7,7,No
winter,Cairns,0,2.3,33,19,65,68,1007,8,No
summer,Cobar,0,9.8,33,7,48,38,1016.3,1,No
winter,Canberra,0,9,48,6,73,35,1011.6,6,No
autumn,MountGambier,4.4,10.2,41,9,67,49,1012.3,5,No
summer,SydneyAirport,1.2,9.8,74,28,44,28,1005.6,2,No
spring,Nuriootpa,0,5.4,63,22,86,45,1014.2,6,Yes
winter,SydneyAirport,0,5.9,52,17,62,55,1014.7,8,No
spring,Townsville,0,9.6,41,15,63,54,1017.7,7,No
spring,Canberra,0,9.2,20,7,74,43,1030.4,1,No
autumn,PerthAirport,0,7.3,54,30,45,34,1018.8,7,No
winter,Watsonia,0.6,12,54,19,63,33,1021.9,1,No
autumn,Nuriootpa,4,2.4,50,11,98,74,1007.6,8,Yes
winter,Moree,14.2,11.9,41,26,58,30,1012.5,1,No
autumn,Portland,0,10.9,30,11,75,71,1022.4,7,No
winter,Watsonia,0.2,11.9,26,7,69,38,1016.1,7,No
spring,MountGambier,2.4,3.2,50,15,71,56,1028.7,7,No
summer,Mildura,0.2,5.2,57,24,77,77,1010.8,5,No
autumn,Melbourne,2,4.5,50,7,79,36,997.1,6,Yes
summer,NorfolkIsland,5.4,6.2,72,28,71,59,1003.9,7,No
autumn,Williamtown,0,11.4,78,44,33,16,1008.2,1,No
spring,Mildura,0,10.3,20,13,57,22,1022.5,1,No
spring,Moree,0,5.6,41,15,87,45,1019.9,7,No
autumn,MountGambier,0.6,11.4,44,28,69,40,1017.1,2,No
spring,SydneyAirport,0,10.4,37,28,49,27,1017.9,3,No
spring,Townsville,0,8.9,41,17,66,65,1016.8,6,No
autumn,AliceSprings,0,11.6,37,24,12,10,1018.2,0,No
autumn,Woomera,0,11.3,35,20,40,18,1027.6,2,No
summer,Hobart,0.2,8.7,39,4,76,50,1021.6,4,No
summer,Cairns,0,11,22,6,67,62,1020.3,1,No
spring,NorfolkIsland,5.6,6.4,50,28,56,51,1021.8,7,No
spring,Watsonia,3.2,3.4,24,2,100,81,1029,6,No
summer,Williamtown,1.4,10.4,83,54,45,38,1011.9,3,No
spring,Mildura,0,10.4,26,9,82,33,1017.6,1,No
summer,Hobart,0,2.4,61,19,73,58,988.8,4,Yes
summer,MountGambier,6.4,4.1,48,30,96,81,1016,6,Yes
summer,SydneyAirport,0,10.9,54,9,31,12,1022.5,1,No
winter,Canberra,0,8.3,63,9,73,38,1015.5,5,Yes
spring,AliceSprings,0,6,39,4,90,58,1019.1,6,No
winter,Brisbane,0,11.3,24,4,65,57,1013,2,No
spring,CoffsHarbour,0,8.9,20,6,78,56,1020.2,2,No
spring,Townsville,0.2,8,33,17,65,67,1014.2,6,No
spring,Woomera,0,8.5,22,9,88,46,1023.8,1,No
autumn,Darwin,0,9.9,39,9,68,51,1011.8,5,No
winter,Darwin,25.8,0.1,54,13,92,87,1006.5,8,Yes
spring,Brisbane,6.6,6.2,31,7,89,76,1027.7,5,No
spring,NorfolkIsland,0,10.5,22,9,72,64,1021.2,2,No
winter,Hobart,0.2,4.3,31,17,67,58,1026,8,No
winter,Sale,2,11.4,37,9,62,48,1008.3,3,Yes
spring,Moree,0,10.6,33,20,56,36,1020.7,5,No
summer,Cairns,0,0.6,33,20,67,70,1017.8,7,Yes
autumn,Melbourne,0,8.9,59,26,48,32,1016.6,7,No
autumn,Perth,0,13.3,41,13,55,41,1017.4,1,No
winter,MelbourneAirport,0.8,9.7,57,24,73,46,1017.7,1,No
spring,Cairns,9.2,1,59,22,74,78,1016.7,7,Yes
spring,WaggaWagga,0,9.1,20,7,84,53,1019.6,3,No
summer,Portland,2.8,6.6,26,2,93,65,1031.9,3,No
autumn,Perth,0.8,8.1,31,11,65,60,1006.4,8,Yes
winter,WaggaWagga,0.6,11.3,50,26,42,24,1010.5,6,No
summer,WaggaWagga,17.8,3.2,31,2,93,70,1020.1,6,No
autumn,PerthAirport,4,8.1,65,30,67,39,1016.7,3,No
summer,Portland,34.4,0.5,46,11,95,88,1004.4,8,Yes
spring,Portland,0,4.3,24,7,94,77,1023.5,7,No
summer,Perth,0,10.5,28,6,68,45,1024.5,3,No
winter,Portland,2,5.5,28,2,93,68,1025.7,8,No
autumn,Portland,0.4,0.3,31,11,67,66,1018.5,8,No
spring,Mildura,0,10.8,24,13,75,39,1022.8,0,No
winter,Portland,0.8,10.7,48,24,68,49,1013,4,No
winter,SydneyAirport,0,13.1,56,7,60,41,1012.6,0,No
autumn,Sale,0,8.5,31,4,79,31,1014.7,8,No
autumn,Watsonia,0,3,33,9,66,30,1016.6,7,Yes
winter,Perth,0,13.3,39,13,45,41,1015.5,1,No
spring,Brisbane,6,9.2,39,6,72,52,1025.5,4,Yes
autumn,PerthAirport,0,12.3,52,22,53,30,1020.4,2,No
autumn,MelbourneAirport,7.8,1.5,48,35,96,78,1008.9,8,Yes
spring,Hobart,2.8,4.5,76,28,78,53,1017.4,3,Yes
spring,Perth,0,5.6,26,9,78,59,1012,7,No
autumn,SydneyAirport,0,12.2,70,13,62,54,1008.6,2,No
summer,NorfolkIsland,0.6,9.1,46,22,74,63,1012.7,3,No
spring,Sale,0,9.3,41,17,65,41,1016.6,5,No
spring,SydneyAirport,0,8.3,26,15,60,38,1025.3,6,No
autumn,Melbourne,0.8,4.5,39,11,61,59,1018.3,7,No
winter,SydneyAirport,0,5,69,31,66,57,1014.1,8,No
winter,Perth,0,10.4,30,7,41,16,1016,7,No
spring,Townsville,0,10,35,2,73,66,1014.5,7,No
summer,Portland,6,9.1,31,7,94,77,1020.6,8,No
spring,MelbourneAirport,0.2,4.1,41,22,79,67,1018.8,7,No
summer,Perth,9.6,7.8,44,15,60,52,1017,3,Yes
spring,CoffsHarbour,0,8.5,48,31,56,50,1020,2,No
spring,PerthAirport,0,6.3,37,11,72,64,1019.4,7,No
summer,Williamtown,0,9,74,19,56,30,1008.9,2,No
winter,AliceSprings,0,11.7,48,22,47,37,1012.4,8,No
spring,MelbourneAirport,0,6.5,26,13,70,51,1034.7,5,No
autumn,Darwin,0,11.5,41,13,61,49,1015.8,1,No
summer,Perth,0,5.3,33,4,82,57,1024,4,No
summer,Brisbane,0,6.7,17,7,62,42,1030.2,6,No
summer,Sydney,0,3.7,33,13,95,58,1020,7,No
summer,Williamtown,0,9.5,26,13,79,48,1027.8,1,No
winter,Woomera,0,12.3,37,22,57,15,1016.2,0,No
spring,Sydney,0,4.3,31,22,77,69,1030.2,6,No
autumn,Cairns,0,10.9,39,19,61,52,1019.8,1,No
autumn,Watsonia,0.8,6.7,33,19,64,54,1016,6,No
summer,Portland,0.2,0.5,39,17,79,61,1018,8,Yes
winter,Nuriootpa,0,13.1,41,22,39,22,1013.6,1,No
winter,Melbourne,0,2,37,17,52,50,1023.2,7,No
summer,AliceSprings,0,11,39,17,40,17,1024.6,0,No
spring,Moree,17.2,2.3,41,19,85,93,1011.1,8,Yes
spring,Darwin,0,11.1,39,19,50,22,1015.5,3,No
winter,Nuriootpa,8,0.5,56,26,95,95,1003.8,8,Yes
summer,Moree,0,7.2,26,17,71,39,1026,6,No
autumn,SydneyAirport,0,2.6,57,19,79,51,1010.9,7,No
autumn,Sydney,3,2.9,69,28,79,67,1009.1,7,Yes
spring,Townsville,0,7.7,41,19,66,55,1014.1,7,No
autumn,Portland,1,12.9,44,28,57,56,1023.6,1,No
summer,Mildura,0,8.2,50,26,59,23,1018.2,2,No
summer,Townsville,0,10.2,30,2,69,52,1017,2,No
summer,Townsville,0,4.2,24,11,89,71,1015.9,4,No
autumn,Mildura,0,11.1,30,15,74,36,1024,1,No
summer,WaggaWagga,0.2,9.1,30,9,77,48,1025.3,3,No
winter,Watsonia,0,9.9,35,2,76,38,1009.8,1,No
winter,Williamtown,12.8,4.6,52,15,91,77,1012.4,7,Yes
spring,Nuriootpa,0,7.2,41,13,47,30,1025.4,8,No
summer,Portland,0.2,3.1,31,9,80,64,1027.2,2,No
spring,Perth,0,9.2,41,20,61,34,1027.8,0,No
autumn,Darwin,0,1.5,46,9,82,63,1012.3,7,No
summer,Moree,0,11.2,30,4,66,39,1022.4,3,No
winter,Hobart,0.2,11.4,39,13,62,35,1023.6,3,No
summer,CoffsHarbour,0,4.7,41,19,57,58,1021.8,7,Yes
autumn,Darwin,0,9.7,35,9,64,65,1010.1,7,Yes
winter,Woomera,0,12.9,37,20,46,21,1017.5,0,No
summer,Mildura,0,8.7,20,9,84,52,1022.2,1,No
spring,Perth,0,9.7,20,6,50,35,1022.4,3,No
autumn,SydneyAirport,7.8,11.9,52,15,52,41,1021.6,1,No
spring,Brisbane,1,2.3,31,7,47,35,1014.5,1,No
summer,Sydney,0,10.1,61,24,40,21,1014.2,0,No
spring,Townsville,3,7,33,15,73,66,1014.9,7,No
autumn,MelbourneAirport,1.2,6.2,70,39,54,60,1009.5,7,No
spring,Perth,0,9.4,24,7,67,45,1025.6,0,No
summer,MountGambier,0.4,0.1,33,22,80,69,1018,7,No
autumn,Brisbane,0,3.7,48,7,65,89,1007.9,7,Yes
autumn,MountGambier,8,4.3,48,17,73,74,1009.7,8,Yes
spring,SydneyAirport,0,10.3,43,15,43,64,1016.3,1,No
winter,Nuriootpa,0,5.1,35,17,64,35,1016.3,8,No
spring,Melbourne,13.4,1.7,37,11,86,53,1032,7,No
autumn,Moree,0,13,44,7,34,19,1010.5,1,No
autumn,Perth,0,11.8,33,13,29,26,1020.7,0,No
autumn,Townsville,0,11.2,33,17,76,71,1016.8,2,No
spring,Mildura,0,9.1,26,7,74,36,1028.4,1,No
spring,Moree,0,10.1,43,19,49,31,1011.4,3,No
spring,Portland,0.6,5.9,37,15,84,64,1025.2,4,No
winter,Sydney,0,13.1,33,13,65,56,1021,1,No
winter,Williamtown,0,13.3,39,19,33,15,1010.5,0,No
spring,Brisbane,0,10.6,17,6,63,59,1018.6,3,No
autumn,NorfolkIsland,0,1,30,13,60,52,1020.1,7,No
summer,Mildura,0,9,54,20,35,17,1017.5,7,No
summer,Woomera,0,9.1,57,26,40,18,1018.1,7,No
spring,Perth,0,6.3,24,7,80,58,1022.6,8,No
autumn,Mildura,0,13.4,28,13,40,6,1019.5,1,No
autumn,Mildura,0,3.4,56,17,46,46,1007.7,8,Yes
autumn,AliceSprings,0,12.3,39,20,14,9,1022.4,0,No
summer,AliceSprings,0,10.9,35,13,24,18,1017.2,1,No
autumn,MelbourneAirport,0.2,11.2,43,26,56,52,1026,1,No
summer,Watsonia,0,9.2,20,6,100,42,1030.7,1,No
spring,SydneyAirport,1.4,1.6,37,20,67,54,1024.6,7,Yes
summer,Portland,0.6,3.5,31,6,74,85,1035.5,8,No
summer,AliceSprings,0,11,39,11,47,22,1027.9,0,No
spring,Williamtown,0.6,4.6,46,28,76,62,1021.4,7,Yes
summer,Brisbane,0,9.7,20,6,59,42,1027.9,2,No
autumn,CoffsHarbour,0,12.6,26,13,62,56,1023.3,1,No
winter,WaggaWagga,0,13.1,33,15,53,23,1024.1,1,No
summer,PerthAirport,9.2,7.5,41,17,88,54,1021.3,5,Yes
winter,Perth,0,7.6,39,11,74,39,1012.5,7,No
spring,Hobart,0,8.1,39,19,65,46,1023.1,6,No
winter,Moree,0,5.5,59,31,57,41,1011.7,5,No
spring,NorfolkIsland,0,9.1,37,19,60,65,1022.2,5,No
winter,Cairns,2.2,10.5,35,13,71,54,1013.4,3,Yes
winter,Brisbane,1,2.1,31,7,67,77,1009.6,8,Yes
summer,Mildura,0,2.5,39,19,20,17,1017.6,7,No
summer,WaggaWagga,4.8,5.7,70,9,96,47,1005.9,3,No
spring,AliceSprings,0.2,10.2,33,15,44,27,1019,1,No
summer,Brisbane,0,10.2,24,7,66,56,1022.2,2,No
winter,Williamtown,0.4,7.8,43,9,72,45,1012.1,5,No
winter,Sale,0,8.7,41,19,55,42,1019.1,1,No
summer,Nuriootpa,0,2.1,26,13,74,51,1031.3,6,No
summer,PerthAirport,0,11,37,26,55,34,1027.4,2,No
autumn,PerthAirport,0,12.9,39,11,42,42,1010.7,2,No
winter,Darwin,0.6,3.3,30,6,89,64,1011.1,5,No
autumn,Brisbane,0,12.2,26,6,54,51,1013.2,4,No
summer,Darwin,0,10.6,41,9,70,56,1014.1,1,No
winter,Nuriootpa,0,7.8,46,13,61,29,1017,3,No
spring,Moree,6.2,6.3,28,4,85,60,1020.4,6,No
winter,Moree,1.2,0,33,20,87,81,1014.6,8,Yes
autumn,Hobart,0,9.2,48,20,49,33,1013.9,6,No
autumn,Cobar,0.2,0.2,43,9,64,79,1018.3,8,Yes
autumn,Nuriootpa,0,11.1,37,19,53,35,1025.9,1,No
autumn,AliceSprings,0,12.8,50,24,44,29,1015.7,1,No
summer,SydneyAirport,0,9.9,39,24,53,30,1027.2,0,No
summer,WaggaWagga,9.8,3,48,19,86,63,1020.5,3,No
summer,Cairns,0,10.5,39,28,40,40,1019.2,0,No
spring,Hobart,14.4,6.4,54,11,56,67,1015.4,5,Yes
winter,Darwin,41.8,0.2,56,28,94,94,1006,8,Yes
autumn,NorfolkIsland,0,9.4,44,17,68,74,1025,5,No
summer,Townsville,0,10.9,35,9,58,49,1018.3,1,No
summer,PerthAirport,0,8.3,33,17,66,48,1016.7,6,No
winter,Darwin,6.4,2.2,30,9,83,82,1005.3,7,Yes
spring,Sydney,0,1.7,35,17,76,87,1029.6,7,Yes
winter,MountGambier,0,13,54,28,65,40,1019.4,1,No
autumn,Perth,0,12.5,31,9,50,45,1019.5,1,No
summer,Hobart,23.8,0.4,69,11,94,84,986.6,6,Yes
winter,Cairns,10,2.5,50,13,92,82,1009.3,7,Yes
winter,Townsville,0,11.8,43,28,54,57,1011.4,3,No
summer,Perth,0,7.3,31,7,69,39,1029.8,3,No
spring,Brisbane,13,0.8,26,2,94,82,1019.6,7,Yes
autumn,Perth,0,11.9,33,13,48,48,1024.8,1,No
autumn,Hobart,11.6,5.3,50,20,65,45,1001,6,Yes
summer,Darwin,0,10.2,48,20,70,48,1012.6,6,No
winter,Townsville,29,4.7,31,13,79,65,1010.9,6,No
summer,Mildura,0,9.6,35,20,47,29,1029.2,1,No
winter,Canberra,0,8.4,46,9,71,43,1018.2,5,No
summer,MountGambier,0.8,6.3,35,7,93,80,1025.9,7,No
spring,Hobart,0,8.6,52,17,59,38,1016.3,6,No
autumn,MelbourneAirport,0,9.7,46,9,85,41,1029.9,3,No
winter,WaggaWagga,0,12.4,41,28,54,33,1014.3,3,No
spring,Cairns,10.4,4.4,56,20,89,69,1016.9,4,Yes
spring,SydneyAirport,0,10.1,61,20,54,28,1007.9,4,No
winter,MelbourneAirport,0,10,33,13,63,48,1021,1,No
spring,Watsonia,10.4,2.8,56,7,100,61,1003.3,7,Yes
winter,Mildura,0,10.7,43,19,62,36,1013.7,4,No
autumn,Portland,0.2,6.1,41,13,82,68,1014.1,8,No
autumn,AliceSprings,0,10.4,37,26,25,11,1016.5,4,No
spring,CoffsHarbour,0.6,0,43,13,91,80,1013.5,7,Yes
summer,Watsonia,0.2,9.7,72,24,40,27,1008.6,5,Yes
spring,MelbourneAirport,2.4,0,37,11,93,84,1024,7,No
spring,Townsville,0,9.5,30,13,69,66,1018.8,3,No
summer,Moree,0,8.4,46,17,56,23,1021.1,1,No
summer,Brisbane,0,10.2,28,7,49,25,1025.7,0,No
autumn,Portland,0,0.2,26,7,85,79,1019.8,8,No
winter,MelbourneAirport,0,9.9,87,63,56,35,1009.6,7,No
autumn,Brisbane,0,8.2,31,2,51,57,1012.2,6,Yes
winter,Moree,0,9.5,52,19,48,23,1009.7,1,Yes
winter,SydneyAirport,0.2,9.4,37,9,67,55,1017.8,3,No
autumn,Williamtown,0,4.9,39,19,74,69,1015.1,3,Yes
