@relation table_train-weka.filters.unsupervised.attribute.Remove-R1-11

@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric
@attribute mjd numeric

@data
GALAXY,-0.194124,1.485176
GALAXY,-0.150208,-0.824459
QSO,2.351021,-0.413063
STAR,-0.367302,1.310565
GALAXY,-0.265037,-0.626037
STAR,-0.36782,0.83832
GALAXY,-0.01793,-0.661091
GALAXY,-0.104554,-0.622068
QSO,5.143446,2.307306
GALAXY,-0.148229,-0.622068
STAR,-0.367639,2.419084
STAR,-0.369882,1.310565
STAR,-0.368224,1.01227
STAR,-0.367624,2.501098
GALAXY,-0.08405,-0.37867
GALAXY,-0.156772,-0.37867
GALAXY,-0.053471,-0.709374
STAR,-0.368106,1.017561
GALAXY,-0.220627,-0.630005
GALAXY,-0.154535,-0.682918
GALAXY,-0.283492,-0.649186
STAR,-0.367758,1.545364
GALAXY,-0.004255,-0.626698
GALAXY,-0.223359,-0.862159
STAR,-0.367932,2.504405
GALAXY,-0.127787,-0.82512
GALAXY,-0.114824,-0.632651
STAR,-0.367634,1.132646
GALAXY,-0.182924,-0.659768
GALAXY,-0.186236,-0.682918
STAR,-0.36759,0.793344
STAR,-0.36929,1.311887
GALAXY,-0.133148,-0.661091
GALAXY,-0.216151,-0.703421
STAR,-0.368598,-0.839671
GALAXY,-0.15131,-0.703421
GALAXY,-0.216462,-0.84364
GALAXY,-0.037989,-0.659768
GALAXY,-0.014131,-0.687548
GALAXY,-0.181864,-0.659768
GALAXY,-0.367953,1.114127
STAR,-0.367291,1.485176
STAR,-0.368684,1.010286
QSO,2.815676,-0.826443
GALAXY,0.209942,-0.682256
GALAXY,-0.159249,-0.622068
STAR,-0.367946,1.065844
GALAXY,-0.090101,-0.682918
GALAXY,-0.169939,-0.702099
GALAXY,-0.089584,2.518295
GALAXY,-0.002734,-0.631989
GALAXY,-0.290042,-0.862159
STAR,-0.369006,1.030128
GALAXY,-0.243292,-0.651832
GALAXY,-0.104149,-0.413063
STAR,-0.367654,-0.622068
STAR,-0.368955,-0.827105
STAR,-0.368248,0.83832
GALAXY,-0.097554,-0.681595
GALAXY,-0.300202,-0.681595
STAR,-0.369256,1.132646
STAR,-0.36797,1.010286
STAR,-0.368634,2.504405
GALAXY,-0.010289,-0.661091
QSO,0.67057,-0.606856
STAR,-0.36884,1.342312
STAR,-0.368408,1.010286
GALAXY,0.024954,-0.622068
STAR,-0.367482,1.010286
STAR,-0.367145,0.801942
GALAXY,-0.207913,-0.649186
GALAXY,-0.190811,-0.380655
GALAXY,0.104967,-0.706067
GALAXY,-0.173738,-0.632651
GALAXY,-0.158168,-0.864805
GALAXY,-0.118878,1.030128
STAR,-0.369374,2.94358
GALAXY,-0.203998,-0.698792
QSO,4.84965,-0.706067
GALAXY,-0.179193,-0.741122
GALAXY,-0.320306,-0.649186
GALAXY,-0.264338,-0.632651
GALAXY,-0.297921,-0.632651
STAR,-0.368218,2.504405
STAR,-0.366301,1.742464
GALAXY,-0.174809,-0.823798
QSO,4.831343,2.513665
GALAXY,-0.25619,-0.37404
STAR,-0.364552,0.841627
GALAXY,-0.274153,-0.631989
GALAXY,-0.177205,-0.682918
STAR,-0.367969,0.793344
STAR,-0.356152,-0.825782
STAR,-0.368092,1.342312
STAR,-0.367161,-0.415048
GALAXY,-0.265504,-0.632651
STAR,-0.368539,0.793344
QSO,5.249279,2.242488
STAR,-0.369559,2.710103
GALAXY,-0.24606,-0.699453
GALAXY,1.533295,1.310565
GALAXY,-0.270468,-0.681595
GALAXY,-0.23582,-0.687548
GALAXY,0.074912,-0.651832
STAR,-0.369039,-0.393883
GALAXY,-0.182648,-0.66969
QSO,0.653182,-0.689532
GALAXY,-0.247425,-0.864805
STAR,-0.368112,2.481917
GALAXY,-0.216353,-0.82512
STAR,-0.368643,-0.568494
STAR,-0.368244,1.075765
STAR,-0.369231,1.243762
QSO,4.577398,2.307967
GALAXY,-0.077278,-0.629344
GALAXY,-0.099307,-0.682256
GALAXY,-0.133559,-0.678288
STAR,-0.365577,0.793344
GALAXY,-0.169867,-0.699453
GALAXY,-0.090551,-0.682256
STAR,-0.367767,2.504405
STAR,-0.367505,-0.632651
GALAXY,-0.223706,-0.703421
GALAXY,-0.226614,-0.651832
GALAXY,-0.098302,-0.388591
STAR,-0.367841,1.243762
STAR,-0.368655,1.574466
QSO,4.019131,-0.877372
STAR,-0.368842,1.222597
STAR,-0.366458,0.83832
QSO,0.949902,-0.379332
GALAXY,-0.132476,-0.682256
STAR,-0.368077,1.072458
QSO,1.037178,-0.688209
STAR,-0.369656,1.079733
GALAXY,-0.221898,-0.864805
GALAXY,-0.283848,-0.864805
STAR,-0.367865,1.075765
STAR,-0.366505,-0.651832
STAR,-0.367267,1.017561
GALAXY,-0.101008,-0.585029
STAR,-0.367857,1.59497
GALAXY,-0.117629,-0.688209
GALAXY,-0.119803,-0.699453
GALAXY,-0.283676,-0.650509
GALAXY,-0.175999,-0.574447
STAR,-0.368439,-0.622068
STAR,-0.369876,1.132646
GALAXY,-0.179165,-0.844963
STAR,-0.367065,-0.866789
STAR,-0.365387,1.290061
QSO,0.545603,-0.628682
GALAXY,-0.011287,-0.631328
GALAXY,-0.147601,-0.74046
GALAXY,-0.166514,-0.82512
STAR,-0.367258,-0.628682
STAR,-0.368764,-0.82512
STAR,-0.367704,1.243762
GALAXY,-0.260608,-0.661091
STAR,-0.366919,1.010286
STAR,-0.368685,1.108174
STAR,-0.367733,1.075765
QSO,0.546206,2.710103
STAR,-0.366901,0.83832
STAR,-0.368231,-0.606856
STAR,-0.369132,0.841627
GALAXY,-0.206363,-0.681595
GALAXY,-0.041224,-0.703421
GALAXY,-0.352593,-0.88134
GALAXY,-0.20534,-0.699453
STAR,-0.366379,1.01227
GALAXY,-0.119935,-0.661091
GALAXY,-0.235401,-0.379332
STAR,-0.367459,1.131985
GALAXY,-0.042262,-0.702099
STAR,-0.367059,1.290061
GALAXY,-0.178643,-0.689532
STAR,-0.36822,1.243762
GALAXY,-0.026775,-0.877372
QSO,0.369316,-0.709374
GALAXY,-0.253233,-0.82512
STAR,-0.37026,-0.585029
GALAXY,-0.154645,-0.682918
GALAXY,-0.27993,0.879327
STAR,-0.368097,-0.628682
STAR,-0.366665,-0.87671
GALAXY,-0.134055,-0.688209
STAR,-0.368689,1.132646
STAR,-0.368488,0.793344
STAR,-0.368164,-0.839671
STAR,-0.368159,1.010286
GALAXY,-0.1162,-0.682256
GALAXY,-0.181143,-0.628682
GALAXY,-0.335954,-0.839671
STAR,-0.368289,2.503744
GALAXY,-0.118871,-0.661091
GALAXY,1.598852,1.243762
STAR,-0.369277,2.518295
STAR,-0.367414,1.072458
STAR,-0.368113,0.1994
STAR,-0.367717,1.301305
GALAXY,-0.271573,-0.84364
STAR,-0.367609,0.334327
STAR,-0.367829,-0.844963
STAR,-0.369952,1.072458
STAR,-0.365992,1.545364
GALAXY,-0.302493,-0.688209
STAR,-0.368377,1.079733
GALAXY,-0.093108,-0.622068
GALAXY,-0.19485,-0.688209
GALAXY,-0.144517,-0.839671
GALAXY,-0.064061,-0.66969
GALAXY,-0.111472,-0.37404
GALAXY,-0.090332,-0.679611
STAR,-0.367814,-0.82512
STAR,-0.368244,1.075765
STAR,-0.367525,-0.585029
STAR,-0.367625,0.793344
STAR,-0.368248,1.034758
STAR,-0.368307,1.079733
STAR,-0.367554,1.065844
GALAXY,-0.140461,-0.824459
STAR,-0.36604,1.714023
GALAXY,-0.153739,-0.377347
GALAXY,-0.20648,-0.415048
GALAXY,-0.162352,-0.628682
GALAXY,-0.262125,-0.74046
STAR,-0.367657,-0.699453
GALAXY,-0.139071,-0.864805
GALAXY,0.028691,-0.628682
GALAXY,-0.15606,-0.880679
STAR,-0.368458,-0.826443
QSO,0.783928,-0.688209
STAR,-0.368141,0.793344
GALAXY,-0.199255,-0.823798
STAR,-0.368094,-0.88134
STAR,-0.369708,-0.351553
GALAXY,-0.219105,-0.743106
GALAXY,-0.008758,-0.631989
GALAXY,-0.278467,-0.377347
GALAXY,-0.320122,-0.682256
QSO,13.477267,1.741802
GALAXY,-0.156734,-0.630005
STAR,-0.367777,2.678355
QSO,3.226221,-0.839671
GALAXY,-0.180802,-0.585691
STAR,-0.365658,-0.866789
STAR,-0.366007,1.010286
GALAXY,-0.174803,-0.688209
GALAXY,-0.097436,2.518295
STAR,-0.367439,0.83832
GALAXY,-0.279708,-0.864805
QSO,0.14448,1.553963
GALAXY,-0.302159,-0.414386
QSO,4.284701,-0.329726
GALAXY,-0.115156,-0.630005
STAR,-0.367146,1.479885
GALAXY,-0.173071,-0.704083
GALAXY,-0.333644,-0.682918
STAR,-0.365555,0.855516
STAR,-0.366758,1.194157
STAR,-0.369252,1.194157
STAR,-0.367816,0.841627
GALAXY,-0.161732,-0.622068
STAR,-0.367066,-0.651832
QSO,0.504225,-0.699453
GALAXY,-0.289225,-0.66043
STAR,-0.367281,2.518956
GALAXY,-0.158612,-0.631328
STAR,-0.367093,0.83832
GALAXY,-0.318125,-0.823798
STAR,-0.369409,0.861469
GALAXY,0.035105,-0.66043
STAR,-0.366628,1.010286
GALAXY,-0.299691,-0.845624
STAR,-0.367247,1.310565
GALAXY,-0.140366,-0.629344
GALAXY,-0.252572,-0.700114
STAR,-0.367296,-0.427614
GALAXY,-0.196168,-0.626698
GALAXY,-0.245493,-0.70739
GALAXY,-0.106323,-0.682256
STAR,-0.367265,1.290061
STAR,-0.368891,-0.827105
GALAXY,-0.168805,-0.682918
STAR,-0.36567,1.738495
GALAXY,-0.110719,-0.650509
STAR,-0.366455,1.075765
GALAXY,-0.329123,-0.66043
QSO,1.497255,-0.668367
STAR,-0.368591,-0.706067
GALAXY,-0.217169,-0.839671
STAR,-0.366342,1.310565
STAR,-0.367717,-0.680272
GALAXY,-0.223634,1.59497
GALAXY,-0.235983,-0.679611
GALAXY,-0.115293,-0.88134
STAR,-0.368156,1.065844
GALAXY,-0.242743,-0.427614
STAR,-0.367653,1.075765
STAR,-0.36746,0.83832
GALAXY,-0.247456,-0.681595
QSO,0.523996,-0.699453
GALAXY,-0.216494,-0.37404
GALAXY,-0.12356,-0.661091
GALAXY,-0.270963,-0.681595
GALAXY,-0.108818,-0.585029
GALAXY,-0.188412,-0.37867
STAR,-0.367199,0.83832
STAR,-0.368123,-0.622068
STAR,-0.367669,1.075765
STAR,-0.367424,1.075765
QSO,2.66436,-0.650509
GALAXY,-0.263204,-0.589659
STAR,-0.365996,0.793344
GALAXY,-0.252932,-0.37404
GALAXY,-0.269295,-0.682918
STAR,-0.370084,1.131985
STAR,-0.367452,2.504405
STAR,-0.36782,1.310565
GALAXY,-0.206301,-0.680934
STAR,-0.369395,1.072458
GALAXY,-0.181464,-0.585029
STAR,-0.367938,-0.606856
STAR,-0.367315,1.50105
GALAXY,-0.347146,-0.628682
GALAXY,-0.264167,-0.878694
GALAXY,-0.140406,-0.839671
GALAXY,-0.309125,-0.880679
STAR,-0.368124,1.08767
STAR,-0.368908,1.079733
GALAXY,-0.16089,-0.569817
STAR,-0.36627,-0.661091
GALAXY,-0.289535,-0.866789
GALAXY,-0.267328,-0.682918
STAR,-0.367902,-0.839671
GALAXY,-0.313008,-0.681595
GALAXY,-0.182955,-0.659768
GALAXY,-0.235195,-0.37404
GALAXY,-0.290634,-0.762287
GALAXY,-0.163424,-0.821152
GALAXY,-0.264266,-0.373379
STAR,-0.368481,1.310565
GALAXY,-0.256386,-0.706067
STAR,-0.367959,-0.826443
GALAXY,-0.297122,-0.377347
GALAXY,-0.116742,-0.706067
STAR,-0.369649,0.211305
STAR,-0.368077,0.861469
GALAXY,-0.117063,-0.818506
STAR,-0.368607,0.861469
STAR,-0.368051,1.079733
GALAXY,-0.148514,-0.631328
STAR,-0.36805,0.793344
STAR,-0.369291,-0.70739
STAR,-0.368875,2.244472
GALAXY,-0.256163,-0.585029
STAR,-0.367498,1.715346
QSO,0.099457,-0.380655
QSO,4.346176,-0.37867
STAR,-0.367792,0.841627
STAR,-0.367789,-0.37404
STAR,-0.36816,1.079733
STAR,-0.367763,0.841627
STAR,-0.367693,-0.377347
STAR,-0.367971,1.079733
STAR,-0.367705,1.01227
GALAXY,-0.084189,-0.62273
QSO,4.581724,1.585049
GALAXY,-0.312056,-0.661091
STAR,-0.366941,2.512342
QSO,0.911179,2.641978
STAR,-0.369199,1.132646
QSO,3.634987,-0.651832
STAR,-0.366156,1.310565
STAR,-0.369721,2.345667
STAR,-0.368038,0.83832
GALAXY,-0.222654,-0.709374
STAR,-0.366778,1.342312
STAR,-0.371561,-0.629344
STAR,-0.367753,1.075765
GALAXY,-0.045305,-0.679611
STAR,-0.368092,1.068489
GALAXY,-0.200314,-0.864805
QSO,2.127334,-0.824459
STAR,-0.367601,1.065844
STAR,-0.367252,2.512342
GALAXY,-0.162532,-0.62273
STAR,-0.367077,2.241165
GALAXY,-0.198161,-0.626698
STAR,-0.365728,-0.681595
GALAXY,-0.069196,-0.678288
STAR,-0.367389,1.065844
STAR,-0.367931,-0.818506
GALAXY,-0.13145,-0.688209
STAR,-0.367864,1.243762
GALAXY,-0.262242,-0.628682
GALAXY,-0.202332,-0.699453
STAR,-0.366091,-0.864805
STAR,-0.367928,1.01227
QSO,3.038506,1.758999
QSO,3.406452,-0.650509
GALAXY,-0.300727,-0.414386
GALAXY,-0.236616,-0.699453
GALAXY,-0.108898,-0.415048
STAR,-0.366749,2.51631
STAR,-0.367542,2.518956
STAR,-0.367551,0.841627
GALAXY,-0.092713,-0.569817
STAR,-0.368979,1.079733
GALAXY,-0.296364,-0.632651
STAR,-0.366665,1.503034
STAR,-0.367796,0.841627
QSO,7.086396,1.794053
STAR,-0.368749,1.310565
STAR,-0.368964,-0.827766
GALAXY,-0.215277,-0.703421
GALAXY,-0.180648,-0.681595
QSO,1.536263,-0.825782
GALAXY,-0.102904,0.328374
GALAXY,-0.137541,-0.66043
QSO,3.761501,-0.649186
STAR,-0.367908,-0.624052
STAR,-0.368152,0.793344
GALAXY,-0.183197,-0.39256
STAR,-0.368367,-0.706067
STAR,-0.36662,1.310565
STAR,-0.367096,1.243762
STAR,-0.367038,1.01227
STAR,-0.368618,-0.624052
STAR,-0.367292,1.114788
STAR,-0.367747,0.801942
GALAXY,-0.206129,-0.622068
GALAXY,-0.135057,-0.659768
GALAXY,-0.229551,-0.825782
GALAXY,-0.154818,-0.585029
GALAXY,-0.323905,-0.703421
STAR,-0.367207,1.075765
GALAXY,-0.249564,-0.37404
GALAXY,-0.04304,-0.762287
GALAXY,-0.153607,-0.606856
STAR,-0.368385,-0.351553
QSO,5.222154,1.721299
STAR,-0.3669,-0.351553
GALAXY,-0.155706,-0.880679
STAR,-0.366979,1.075765
GALAXY,-0.284528,-0.703421
GALAXY,-0.335567,-0.348907
STAR,-0.369168,1.290061
STAR,-0.369051,2.289448
STAR,-0.36946,-0.825782
STAR,-0.367983,1.010286
STAR,-0.367665,1.072458
GALAXY,-0.286382,-0.68887
GALAXY,-0.085518,-0.844963
GALAXY,-0.266001,-0.682256
GALAXY,-0.168029,-0.630005
GALAXY,-0.232124,-0.828427
GALAXY,-0.22128,-0.824459
GALAXY,-0.191313,-0.823798
STAR,-0.367275,-0.877372
QSO,2.572902,-0.62273
STAR,-0.367154,0.83832
STAR,-0.366949,0.793344
STAR,-0.367125,1.502373
STAR,-0.367092,0.841627
GALAXY,-0.095531,-0.877372
STAR,-0.367817,0.841627
GALAXY,-0.270481,-0.35023
STAR,-0.366157,-0.628682
STAR,-0.368838,0.801942
QSO,4.57596,-0.62273
GALAXY,-0.237275,-0.709374
GALAXY,-0.334802,-0.688209
GALAXY,0.02313,-0.661091
STAR,-0.367068,0.855516
STAR,-0.366404,-0.650509
STAR,-0.368033,1.243762
GALAXY,-0.042403,-0.688209
STAR,-0.367887,0.861469
STAR,-0.368259,-0.631328
GALAXY,-0.268699,2.149891
QSO,3.990504,-0.828427
GALAXY,-0.084579,-0.569817
GALAXY,-0.13538,-0.827105
STAR,-0.368296,-0.628682
GALAXY,-0.159154,-0.864805
GALAXY,-0.245324,-0.70739
STAR,-0.367531,-0.379332
GALAXY,-0.024857,-0.622068
STAR,-0.367159,-0.66043
STAR,-0.367315,0.793344
GALAXY,0.00491,-0.585691
STAR,-0.367803,0.839642
GALAXY,-0.20766,-0.864805
GALAXY,-0.29083,-0.878694
QSO,0.854919,-0.585029
GALAXY,-0.079493,-0.622068
GALAXY,-0.249663,-0.864805
GALAXY,-0.203839,-0.37404
GALAXY,-0.062406,-0.827766
STAR,-0.367927,1.243762
STAR,-0.368171,0.1994
STAR,-0.369468,2.497791
QSO,3.961675,-0.679611
GALAXY,-0.140903,-0.827105
STAR,-0.36739,0.793344
GALAXY,-0.145127,-0.682918
GALAXY,-0.175821,-0.626698
GALAXY,-0.284533,1.030128
GALAXY,-0.125953,-0.825782
GALAXY,-0.073111,-0.583045
QSO,2.365035,-0.413063
STAR,-0.368149,1.132646
STAR,-0.367852,0.793344
STAR,-0.366129,2.504405
GALAXY,-0.166301,-0.632651
STAR,-0.367487,1.310565
STAR,-0.36731,1.91443
QSO,2.799733,-0.678288
STAR,-0.368703,0.211305
GALAXY,-0.178115,-0.700114
STAR,-0.36803,0.793344
GALAXY,-0.085722,-0.624052
GALAXY,-0.151604,-0.35023
GALAXY,-0.197678,-0.630005
QSO,2.108806,-0.630005
QSO,3.29901,-0.661091
STAR,-0.365665,1.310565
GALAXY,-0.181753,-0.681595
STAR,-0.368537,0.841627
GALAXY,-0.114971,-0.679611
GALAXY,-0.124746,-0.699453
QSO,3.346528,-0.650509
GALAXY,-0.122025,-0.632651
STAR,-0.367652,1.290061
STAR,-0.367405,1.290061
STAR,-0.369607,-0.818506
GALAXY,-0.157563,-0.626037
GALAXY,-0.09273,-0.823798
STAR,-0.368269,1.01227
STAR,-0.370479,0.637913
STAR,-0.368347,1.010286
STAR,-0.369212,-0.823798
GALAXY,-0.249267,-0.37404
STAR,-0.367821,-0.629344
GALAXY,-0.139373,-0.650509
STAR,-0.367812,2.504405
STAR,-0.367975,1.075765
STAR,-0.367726,0.793344
QSO,2.351262,-0.626698
STAR,-0.368474,-0.741122
QSO,2.487139,1.780164
GALAXY,-0.093932,-0.698792
GALAXY,-0.132602,-0.84364
STAR,-0.368223,-0.682918
STAR,-0.370585,2.320534
GALAXY,-0.219432,-0.622068
GALAXY,-0.159897,-0.630005
QSO,0.929715,-0.88134
STAR,-0.368818,1.030128
STAR,-0.367941,-0.826443
STAR,-0.364897,0.83832
GALAXY,-0.174545,-0.682256
GALAXY,-0.179024,-0.839671
STAR,-0.367768,1.065844
QSO,1.980809,-0.413063
STAR,-0.36805,0.334327
GALAXY,-0.205346,-0.622068
GALAXY,-0.023885,-0.679611
GALAXY,0.008996,1.762306
GALAXY,-0.238385,-0.568494
QSO,4.261688,-0.589659
STAR,-0.367739,1.075765
STAR,-0.366174,1.010286
STAR,-0.367724,2.504405
STAR,-0.367402,1.075765
STAR,-0.367769,2.518956
STAR,-0.365155,1.072458
GALAXY,-0.117726,-0.631989
STAR,-0.36777,-0.373379
STAR,-0.36805,1.030128
STAR,-0.367937,1.762306
STAR,-0.36517,0.83832
GALAXY,-0.126994,-0.661091
GALAXY,-0.150982,-0.668367
STAR,-0.368655,-0.827105
STAR,-0.367869,0.841627
STAR,-0.367929,1.311887
STAR,-0.367836,2.504405
GALAXY,-0.01228,-0.626698
STAR,-0.369134,-0.844963
GALAXY,-0.24317,-0.622068
GALAXY,-0.13785,-0.826443
QSO,2.821425,1.973956
STAR,-0.369033,0.637913
STAR,-0.366849,2.51631
GALAXY,-0.119343,-0.682918
STAR,-0.367318,1.50105
STAR,-0.368303,0.211305
STAR,-0.366347,1.310565
GALAXY,-0.197607,-0.679611
QSO,-0.189906,-0.823798
GALAXY,-0.123943,-0.37404
GALAXY,-0.270278,-0.84364
GALAXY,-0.233324,-0.706067
GALAXY,-0.014729,-0.630005
STAR,-0.368025,-0.826443
GALAXY,-0.222677,-0.703421
STAR,-0.367741,-0.87671
QSO,3.164071,-0.706067
STAR,-0.368619,1.553963
STAR,-0.367769,0.83832
GALAXY,-0.176868,-0.688209
STAR,-0.367896,-0.682918
GALAXY,-0.067123,-0.630005
GALAXY,-0.147698,-0.651832
GALAXY,-0.156954,-0.631989
QSO,0.707477,-0.607517
GALAXY,-0.152338,-0.651832
STAR,-0.36759,1.714023
STAR,-0.367248,1.132646
GALAXY,-0.165879,-0.62273
STAR,-0.367242,0.83832
GALAXY,-0.204422,-0.703421
GALAXY,-0.115966,-0.650509
STAR,-0.367724,1.758337
STAR,-0.367114,1.751062
GALAXY,-0.20009,-0.877372
GALAXY,-0.144889,-0.651832
GALAXY,-0.193648,-0.632651
STAR,-0.367601,0.793344
STAR,-0.368015,1.01227
GALAXY,-0.297387,-0.622068
GALAXY,-0.220351,-0.703421
GALAXY,-0.232871,-0.878033
STAR,-0.368143,0.801942
GALAXY,-0.113715,-0.427614
GALAXY,-0.280862,-0.661091
GALAXY,-0.156989,-0.622068
STAR,-0.369339,1.342312
GALAXY,-0.115155,-0.828427
STAR,-0.36847,0.212628
STAR,-0.368711,0.83832
GALAXY,-0.259502,-0.37404
GALAXY,-0.047242,-0.681595
GALAXY,-0.097909,-0.818506
STAR,-0.371034,-0.827105
STAR,-0.368086,-0.622068
STAR,-0.366804,1.072458
STAR,-0.367421,1.310565
STAR,-0.367939,0.841627
GALAXY,0.535075,-0.69813
STAR,-0.367872,0.83832
STAR,-0.367834,1.323793
GALAXY,-0.156181,-0.606856
GALAXY,-0.175062,-0.632651
STAR,-0.366436,2.032822
GALAXY,-0.235536,-0.679611
GALAXY,-0.278807,1.485176
STAR,-0.368529,1.047986
GALAXY,-0.263677,-0.606856
GALAXY,-0.095701,-0.388591
GALAXY,-0.112229,-0.866789
STAR,-0.367834,1.131985
QSO,1.501618,-0.630005
GALAXY,-0.173999,-0.37404
GALAXY,-0.169581,-0.632651
STAR,-0.367829,0.793344
GALAXY,-0.247693,-0.624052
STAR,-0.366269,1.342312
QSO,2.274534,-0.630005
GALAXY,-0.140027,-0.659768
STAR,-0.368298,1.132646
GALAXY,-0.290041,-0.659768
GALAXY,-0.351746,-0.630005
STAR,-0.368348,1.27088
STAR,-0.369556,-0.823798
STAR,-0.367283,2.512342
GALAXY,-0.270919,-0.703421
GALAXY,-0.161044,-0.844963
GALAXY,-0.249311,-0.37404
STAR,-0.366714,0.841627
GALAXY,-0.185857,-0.622068
STAR,-0.36724,2.504405
GALAXY,-0.250707,-0.682918
GALAXY,-0.153692,-0.668367
GALAXY,-0.015504,-0.681595
STAR,-0.366848,0.841627
GALAXY,-0.091584,-0.839671
STAR,-0.367635,1.132646
GALAXY,-0.105386,1.95213
GALAXY,-0.24757,-0.703421
STAR,-0.365858,1.046663
QSO,1.995608,-0.37404
STAR,-0.367526,1.132646
STAR,-0.367625,0.841627
STAR,-0.367418,0.83832
STAR,-0.369754,1.108174
STAR,-0.368004,2.504405
QSO,2.613635,-0.632651
GALAXY,-0.15463,-0.629344
GALAXY,-0.312178,-0.650509
STAR,-0.366154,1.075765
STAR,-0.365988,0.793344
QSO,2.377618,-0.682256
STAR,-0.366296,1.71733
GALAXY,-0.250281,-0.650509
GALAXY,-0.209293,-0.698792
GALAXY,-0.168539,-0.659768
STAR,-0.367123,-0.877372
GALAXY,-0.053327,-0.435551
STAR,-0.36754,-0.605533
GALAXY,-0.137189,-0.839671
GALAXY,-0.197414,-0.681595
GALAXY,-0.212777,-0.74046
STAR,-0.368242,1.243762
STAR,-0.368286,1.290061
GALAXY,-0.331699,-0.703421
STAR,-0.368054,1.079733
STAR,-0.367371,1.778841
STAR,-0.367817,1.065844
GALAXY,-0.236986,-0.700114
GALAXY,-0.199457,-0.413063
GALAXY,0.030741,-0.651832
GALAXY,-0.204664,-0.626698
GALAXY,-0.125878,-0.630005
GALAXY,-0.195501,-0.682918
STAR,-0.368128,1.065844
STAR,-0.367474,-0.628682
STAR,-0.368432,1.243762
GALAXY,-0.297335,-0.568494
GALAXY,-0.07043,-0.629344
GALAXY,0.03572,-0.818506
QSO,2.874842,-0.845624
STAR,-0.369876,1.778841
GALAXY,-0.102555,-0.377347
STAR,-0.367621,0.841627
STAR,-0.36798,1.01227
STAR,-0.367849,-0.825782
QSO,4.87813,2.516972
STAR,-0.36777,-0.844963
GALAXY,0.012323,-0.878694
STAR,-0.367483,1.132646
GALAXY,-0.030188,-0.659768
STAR,-0.368096,0.579048
GALAXY,-0.121309,-0.650509
GALAXY,-0.268244,-0.631989
QSO,3.052494,-0.606856
STAR,-0.368284,-0.818506
STAR,-0.367588,0.793344
GALAXY,-0.258222,1.030128
QSO,6.006706,1.561899
GALAXY,-0.176915,-0.37404
STAR,-0.369739,1.079733
QSO,1.217248,-0.583045
STAR,-0.36756,0.793344
STAR,-0.367934,1.132646
STAR,-0.367852,0.841627
GALAXY,-0.036049,-0.839671
STAR,-0.368119,1.290061
STAR,-0.37067,-0.39256
STAR,-0.367525,1.561899
STAR,-0.367813,-0.87671
STAR,-0.367219,2.419084
GALAXY,-0.112828,-0.377347
GALAXY,-0.041842,-0.88134
STAR,-0.36651,1.075765
STAR,-0.367533,2.518956
GALAXY,-0.267276,-0.844963
GALAXY,-0.0267,-0.624052
GALAXY,0.013298,-0.414386
GALAXY,-0.243643,-0.82512
GALAXY,-0.166974,-0.84827
STAR,-0.36792,-0.87671
STAR,-0.367011,1.068489
QSO,4.13076,-0.688209
QSO,0.706763,-0.82512
GALAXY,0.016367,-0.626698
STAR,-0.369085,0.328374
STAR,-0.368245,1.065844
GALAXY,-0.234086,-0.37404
GALAXY,-0.15283,-0.626698
STAR,-0.367372,-0.651832
STAR,-0.367015,-0.826443
STAR,-0.366781,-0.631989
STAR,-0.367875,-0.380655
STAR,-0.369485,-0.678288
GALAXY,-0.130658,-0.622068
GALAXY,0.035271,-0.825782
GALAXY,-0.140966,-0.826443
STAR,-0.367844,1.010286
QSO,4.292619,-0.688209
QSO,0.292789,-0.692839
STAR,-0.369655,0.861469
GALAXY,-0.242168,-0.709374
GALAXY,-0.063661,1.030128
STAR,-0.36691,0.839642
GALAXY,0.156319,-0.659768
STAR,-0.37139,1.311887
GALAXY,-0.249155,-0.703421
QSO,3.071796,-0.862159
STAR,-0.368066,1.290061
STAR,-0.367684,1.01227
GALAXY,0.035253,-0.574447
GALAXY,-0.183466,-0.37867
GALAXY,-0.147131,-0.681595
GALAXY,-0.096876,-0.877372
GALAXY,-0.104346,-0.762287
QSO,2.262928,2.503744
STAR,-0.368291,-0.699453
GALAXY,-0.115797,-0.37404
GALAXY,-0.224752,-0.82512
GALAXY,-0.152956,-0.682918
QSO,0.248695,-0.661091
STAR,-0.368037,0.334327
GALAXY,-0.178784,-0.706067
STAR,-0.365578,1.310565
GALAXY,-0.156905,-0.466637
GALAXY,-0.140526,-0.622068
GALAXY,-0.232476,-0.699453
GALAXY,-0.134829,2.493823
GALAXY,0.01385,1.93361
QSO,5.021708,-0.82512
GALAXY,-0.244975,-0.624052
STAR,-0.367207,1.010286
GALAXY,-0.069281,-0.877372
GALAXY,-0.232627,-0.66043
STAR,-0.367825,1.079733
STAR,-0.36807,0.793344
STAR,-0.368309,1.290061
STAR,-0.36779,0.841627
GALAXY,-0.266414,-0.682256
GALAXY,-0.116125,-0.682256
GALAXY,-0.136839,-0.839671
GALAXY,0.023768,-0.668367
GALAXY,-0.242216,-0.706067
QSO,2.368787,-0.35486
STAR,-0.368778,-0.682918
STAR,-0.36745,-0.651832
GALAXY,-0.144015,-0.624052
STAR,-0.36793,1.010286
STAR,-0.367882,1.046663
GALAXY,-0.102787,-0.878694
STAR,-0.366835,0.841627
STAR,-0.368879,1.065844
STAR,-0.366844,1.310565
